Rank	Russian	English
1	и	and
2	он	he; it (masculine inanimate nouns)
3	она	she, it, he, she, it, he, she
4	не	not
5	что	what
6	в	in; at
7	быть	be
8	я	I
9	с	with; from
10	на	on (place); on (day/week)
11	это	this is; that is
12	сказать	say, tell, speak, talk
13	как	how
14	но	but
15	к	towards, to; visit someone
16	то	then
17	они	they
18	свой	my; your
19	который	which, that; who
20	все	always, all the time, the whole time, still, only, all, all the same, however, nevertheless
21	тот	that, the other, the right
22	о	about; of
23	ты	you
24	так	so, thus, like this, this way, then
25	мочь	power, might
26	а	and; but, yet
27	же	and, as for, but
28	этот	this
29	вы	you (plural); you (formal)
30	говорить	speak, talk gapirish
31	за	behind; at (location)
32	себя	ourselves, yourselves, himself, herself, itself, yourself, myself, themselves
33	знать	nobility, noble people
34	только	only; just, simply
35	один	one, 1; alone
36	по	along, down; on the subject of
37	весь	all, the whole of, everything, everybody, everyone, no more left
38	у	(possession); by, at (place)
39	когда	when, while, as
40	из	from; out of
41	для	for
42	бы	would
43	да	yes
44	от	from (away); from (part of a whole)
45	теперь	now, nowadays, today
46	рука	hand; arm
47	еще	still, yet, as far back as, as long ago as, only, some more
48	хотеть	want; to feel like
49	человек	person, people; man
50	видеть	see
51	думать	think, consider, reflect, ponder, believe, intend
52	лицо	face, the right side, person
53	уже	already, by this time, by now, now, no longer
54	нет	no; not
55	очень	very, very much, greatly
56	другой	other, another, different, another thing, something else, others, the rest
57	сам	ourselves, yourself, thyself, yourselves, himself, herself, itself, themselves
58	мы	we
59	чтобы	so that; in order to
60	дело	business; matter
61	ни	neither; no
62	если	if
63	ничего	not badly, passably, so-so, not bad, never mind, all right; nothing
64	такой	such, so, that sort of
65	какой	which, what, what kind of
66	чувствовать	feel, have a sensation, sense
67	ну	well
68	глаз	eye
69	чем	Prepositional of 'что'; than
70	сделать	make; do
71	жизнь	life, existence
72	время	time, times, tense
73	хороший	good, beautiful, handsome
74	стать	figure; character, type
75	жена	wife, woman
76	есть	eat
77	любить	love; like
78	вот	there, here, there is
79	делать	make, do
80	слово	word; speech
81	мой	my, mine, my people
82	тем	the, so much the
83	надо	it is necessary; need
84	большой	big, large, great, important, grown-up
85	ли	whether, if
86	опять	again
87	или	or
88	иметь	have
89	потому	because
90	понимать	understand, comprehend, realize
91	ребенок	child, kid
92	должный	must
93	отвечать	answer, reply, respond
94	муж	husband, man
95	казаться	seem, appear, strike as, look
96	брат	brother
97	новый	new, novel
98	понять	understand, comprehend, realize
99	самый	the most
100	мысль	thought, idea
101	до	to (direction); to (distance)
102	кто	who
103	раз	time; one
104	идти	go, walk
105	чувство	feeling
106	положение	position, whereabouts, location, posture, attitude, state, status, standing, situation, thesis, clause, regulations, stature
107	выйти	leave, go out, get out; be published, be issued
108	день	day, afternoon
109	спросить	ask, inquire, demand
110	разговор	conversation
111	первый	first, front, former, earliest
112	смотреть	look, watch
113	два	two, 2
114	голова	head, mind, brains, chief, master
115	всегда	always
116	приехать	arrive, come
117	улыбка	smile
118	пойти	go; walk
119	княгиня	princess
120	более	more
121	вдруг	suddenly, all of a sudden
122	минута	minute, moment
123	после	after, afterwards, later
124	дом	house, home, house-hold
125	при	at; in the presence of
126	без	without; to (time)
127	жить	live
128	где	where
129	женщина	woman, women, womanfolk, womankind
130	вопрос	question, issue
131	улыбаться	smile
132	хорошо	it is good, it is pleasant, well, good
133	никогда	never, ever
134	потом	afterwards, then, later on, later
135	взять	take, hire
136	ехать	drive
137	мать	mother
138	взгляд	look, gaze, stare, glance, glare, view, opinion
139	даже	even
140	желать	wish, desire, covet
141	голос	voice, part, vote
142	пред	before
143	выражение	expression
144	душа	soul
145	любовь	love
146	нужно	it is necessary, must, one should, one ought, you should, you ought, should
147	прежде	before, first, formerly, in former times
148	нельзя	can't
149	чтоб	to
150	глядеть	look, peer, show, face, look out, give, point, look like, see
151	тотчас	immediately, at once, instantly
152	дать	give
153	поехать	go somewhere in a vehicle; go for a ride, go for a drive
154	друг	friend
155	про	about, for
156	войти	enter, go in, come in
157	лошадь	horse
158	нибыть	
159	дверь	door
160	под	under; below
161	бог	God, god
162	тут	mulberry fruit; mulberry tree
163	между	between
164	продолжать	continue, go on, proceed, keep on, extend, prolong
165	подумать	think a little, for a while
166	отношение	relation, relationship; attitude
167	место	place, spot, site, locality; region, area
168	сторона	side
169	увидать	see
170	тоже	also, as well, too
171	вместе	together
172	будто	as if, as though
173	узнать	know, recognize, discover; learn, find out
174	комната	room
175	совершенно	totally
176	хотя	though, although, even though
177	ваш	your (formal)
178	старый	old, ancient, the old, the past
179	сын	son
180	найти	find
181	подойти	approach
